Name,OrganizationNumber,CompanyOrganizationNumber,CompanyLEI,IsActive,IndustryCode,ConsolidatedReportOrganizationNumber
A.P. Møller - Mærsk A/S,100000337,22756214,549300D2K6PKKKXVNN73,True,50201,
Tryg Forsikring A/S,100000405,24260666,213800BIA5L8OPBER229,True,65120,
Electrolux AB (publ),100000445,556009-4178,549300Y3HHZB1ZGFPJ93,True,27510,
Sandvik AB (publ),100000446,556000-3468,5299008ZUAXN43LVZF54,True,28410,
SSAB AB (publ),101072299,556016-3429,529900329VS14ZIML164,True,24100,
Bilia AB (publ),105105996,556112-5690,2138002GW5WN1UYZAO32,True,47810,
Assa Abloy AB,106083008,556059-3575,549300YECS8HKCIMMB67,True,25620,
PEAB Finans AB,108306707,556552-1324,5493002XK2SGX6H4O262,True,64920,260003769
Corem Property Group AB (publ),108520479,556463-9440,213800CHXQQD7TSS1T59,True,68200,
Intrum AB,111273386,556607-7581,549300UNCO2FCUWXX470,True,82910,
L E Lundbergföretagen AB,111902467,556056-8817,529900BPSFZS6O3A9R04,True,68200,
Sparbanken Sjuhärad AB (publ),125404713,516401-9852,549300Q4JBHBZ2WEQR78,True,64190,
Volvo Treasury AB,130985892,556135-4449,549300PD69T87IGZG395,True,64920,260004425
Fastighets AB Balder (publ),131799428,556525-6905,549300GHKJCEZOAEUU82,True,68200,
BW Offshore Limited,133185274,36937,2138008LFKH8V2EOA915,True,09109,
AB SKF,134016864,556007-3495,549300B6HWYEE57O8J84,True,28150,
Ziklo Bank AB,146601892,556069-0967,549300ZEF3QWM810M319,True,64190,
Bayport Management Ltd,146931723,54787/C1/GBL,549300MHJ6KEDPWPMN38,True,64990,
DFDS A/S,147805458,14194711,549300JZVW1Y1UZ5UK38,True,50101,
FastPartner AB (publ),153033241,556230-7867,549300BG6SL5QQ7LQW56,True,68200,
Getinge AB,155133000,556408-5032,5493003PZ4F570G3W735,True,46460,
Saab AB (publ),155617436,556036-0793,549300ZHO4JCQQI13M69,True,30300,
PostNord AB (publ),156656325,556771-2640,549300W4IYQJIBX9XR63,True,53100,
Specialfastigheter Sverige AB,161894855,556537-5945,529900YUX4HEA9IIYV06,True,68200,
Nordnet AB (publ),162163940,556249-1687,549300KK7IUPX2I8HT93,True,64190,
Swedish Orphan Biovitrum AB (publ),168411448,556038-9321,549300124Y3MQI87PT35,True,46460,
Stora Enso Oyj,179348875,1039050-8,7437000ZP669LKUTZ738,True,17120,
Södra Skogsägarna ekonomisk förening,179798597,729500-3789,5493002FIVSWBLEV7P15,True,46830,
Castellum AB,181305440,556475-5550,549300GU5OHTR1T5IY68,True,68200,
Multiconsult ASA,910253158,910253158,5967007LIEEXZXG9GO07,True,71121,
Christian Berner AS,910542788,910542788,,True,46640,260003728
Volvo Norge AS,910712799,910712799,                    ,True,95310,260004425
Orkla ASA,910747711,910747711,549300PZS8G8RG6RVZ52,True,10850,
DNB Eiendom AS,910968955,910968955,                    ,True,68310,984851006
Elkem ASA,911382008,911382008,549300CVBE06T0SH6T76,True,20130,
Entreprenørservice AS,911469138,911469138,,True,43990,260003555
Akademiska Hus AB,194399184,556459-9156,213800573TEIBOSTZX92,True,68200,
Fabege AB (publ),198403405,556049-1523,549300JNPI46XNH0PM97,True,68200,
Holmen AB (publ),199626114,556001-3301,52990080SH3454F0QE68,True,17120,
Husqvarna AB,199933795,556000-5331,549300GYQIIJ3UXB7655,True,28240,
Hufvudstaden AB (publ),199933914,556012-8240,213800UEV5ZAFFVQ4J85,True,68200,
Realkredit Danmark A/S,199933965,13399174,549300NLOMBOWE943Y30,True,64920,
Catella AB (publ),199934295,556079-1419,213800WNI4X4LCFHV831,True,66190,
Citycon Oyj,199934341,0699505-3,549300P8N0P6KDGTJ206,True,68200,
Tornator Oyj,199934376,0162807-8,743700HAOL35VNKK1711,True,02200,
Outokumpu Oyj,199934406,0215254-2,5493009YRUJJDCFF0R80,True,24100,
Nokian Renkaat Oyj,199934414,0680006-8,743700YQIO8Y4L4WKR40,True,22110,
Posti Group Oyj,199934422,1531864-4,743700DOHLQIENKTC391,True,53000,
Kesko Oyj,199934465,0109862-8,743700OX6HSVMCAHPB95,True,46900,
Huhtamäki Oyj,199934473,0140879-6,5493007050SJVMXN6L29,True,16240,
SATO Oyj,199934481,0201470-5,7437009ELUGUOA45V564,True,68200,
Neste Oyj,199934503,1852302-9,5493009GY1X8GQ66AM14,True,19200,
YIT Oyj,199934511,0112650-2,529900M13GM4VSTE6W80,True,41000,
P/F Bakkafrost,199934538,1724,2138007LH7OP4V112978,True,03211,
Sampo Oyj,199934554,0142213-3,743700UF3RL386WIDA22,True,65110,
Svenska Handelsbanken AB (publ),199934589,502007-7862,NHBDILHZTYCNBV5UYZ31,True,64190,
Sanoma Oyj,199934600,1524361-1,743700XJC24THUPK0S03,True,85590,
Elisa Oyj,199934619,0116510-6,743700TU2S3DXWGU7H32,True,61100,
Seadrill Ltd,199934708,36832,213800LZ4WWG15NAC829,True,09101,
Kinnevik AB,199934759,556047-9742,2138006PZH76JOS6MN27,True,64990,
Fingrid Oyj,199934791,1072894-3,7437006ZZI1F7CUA5518,True,35130,
Fortum Oyj,199934805,1463611-4,635400IUIZZIUJSAMF76,True,35110,
Swedavia AB,199934880,556797-0818,529900ZERGNJBEQEX179,True,52230,
Lindex Group Oyj,199934902,0114162-2,743700IFQI6W89M1IY95,True,47120,
Arion Banki hf,199934937,581008-0150,RIL4VBPDB0M7Z3KXSF19,True,64190,
Swedbank Hypotek AB,199934996,556003-3283,549300TJREQ7GHIXWR36,True,64920,
Aktia Bank Abp,199935100,2181702-8,743700GC62JLHFBUND16,True,64190,
Ålandsbanken Abp,199935267,0145019-3,7437006WYM821IJ3MN73,True,64190,
Componenta Oyj,199935313,1635451-6,5493000SDCOXVGZDWK18,True,25000,
Suomen Hypoteekkiyhdistyksen,199935461,0116931-8,5493009ZDBVG2CO1O689,True,64920,
TietoEVRY Oyj,199935844,0101138-5,549300EW2KM4KROKQV31,True,62200,
Hiab Oyj,199935852,1927402-8,5493002B0GOVF42KWX33,True,28220,
Billerud Aktiebolag (publ),199935902,556025-5001,549300YJUYJ9A24RXL71,True,17110,
Jernhusen AB,199935945,556584-2027,529900F2GBRPYPZFX003,True,68200,
Rikshem AB,199935967,556709-9667,529900AJTHH582JP6S77,True,68200,
Wihlborgs Fastigheter AB (publ),199935989,556367-0230,549300RC1YDJPITF8X06,True,68200,
Orion Oyj,199936001,1999212-6,74370029VAHCXDR7B745,True,21200,
Sparbanken Syd,199936008,548000-7425,549300FRBP5L0O1HY885,True,64190,
ICA Gruppen AB,199936024,556048-2837,549300ZEFN8VKPK9I111,True,46390,
Arla Foods Amba,199936039,25313763,529900IJ6T4P1O10R377,True,10510,
Svensk Exportkredit AB,199936111,556084-0315,1FOLRR5RWTWWI397R131,True,64920,
Finnair Plc.,199936132,0108023-3,213800SB6EOB8SSK9W63,True,51100,
Svenska Cellulosa AB SCA,199936137,556012-6293,549300FW5JDRV1IJ0M67,True,17120,
Cloetta AB (publ),199936147,556308-8144,549300CSLHPO6Y1AZN37,True,10820,
Nordic Investment Bank,199936165,0213600-8,213800HYL1S7VAXG6Z48,True,64920,
Topsoe A/S,199936167,41853816,213800W8V7KMWTKSPZ56,True,20500,
Jyske Bank A/S,199936174,17616617,3M5E1GQGKL17HI6CPN30,True,64190,
AL Sydbank A/S,199936189,12626509,GP5DT10VX1QRQUKVBK64,True,64190,
Teollisuuden Voima Oyj,199936198,0196656-0,743700LQ48IZBTZN4S52,True,35110,
Finnvera PLC,199936200,1484332-4,743700T69OBBJO7TCA15,True,64920,
Danske Andelskassers Bank A/S,199936201,31843219,549300JECLPX13NZLU57,True,64190,
Ringkjøbing Landbobank A/S,199936202,37536814,2138002M5U5K4OUMVV62,True,64190,
Øresundsbro Konsortiet I/S,199936204,24246787,ZELHXIJDMZSUF0SVF203,True,42130,
Atrium Ljungberg AB (publ),199936278,556175-7047,5493001NNP6HM67OVU09,True,68200,
Kemijoki Oy,199936290,0192171-7,743700JHNFNBE081G364,True,35121,
SRV Group Plc,199936397,1707186-8,743700GB29FXC0VXF414,True,41000,
Jyske Realkredit A/S,199936429,13409838,529900R9HQNZRT2OXB26,True,,199936174
Nordea Kredit Realkreditaktieselskab,199936432,15134275,52990080NNXXLC14OC65,True,64920,199936757
Danmarks Skibskredit A/S,199936440,27492649,549300T70JXFWEXCK295,True,64990,
Spar Nord Bank A/S,199936446,13737584,549300DHT635Q5P8J715,True,64190,
Trelleborg Treasury AB (publ),199936450,556064-2646,2138006FE9S8AX3ZZQ95,True,64920,260003682
DSV A/S,199936490,58233528,529900X41C0BSLK67H70,True,50200,
Volkswagen Financial Services N.V.,199936498,33172400,529900ZTQC8D1TW6BL41,True,64990,199938860
European Energy A/S,199936514,18351331,21380051RCIXDBLT6P16,True,42222,
Metsä Board Oyj,199936520,0635366-7,743700KKB8Q035K38488,True,17120,
Boliden AB,199936537,556051-4142,21380059QU7IM1ONDJ56,True,07290,
Taaleri Oyj,199936538,2234823-5,743700LSJBDD7TMLAD92,True,66300,
Orexo AB (publ),199936552,556500-0600,549300LJ5CCWDPTK9Z08,True,21200,
Carlsberg Breweries A/S,199936574,25508343,5493008YL42784DMWN61,True,11050,260005095
Kemira Oyj,199936575,0109823-0,74370031Y7RK5H88CQ48,True,20590,
Oriola-KD Oyj,199936580,1999215-0,549300UWB1AIR85BM957,True,46460,
Oma Säästöpankki Oy,199936581,2231936-2,743700LE1ECAPXC5UT18,True,64190,
Wallenstam AB (publ),199936583,556072-1523,21380081R2P9MKFQBD25,True,68200,
Vacse AB (Publ),199936586,556788-5883,549300SQ3S7ZS962SD98,True,68200,
Sparbanken Skåne AB (publ),199936595,516401-0091,549300JXFHK9ZR8N7I05,True,64190,
Evli Bank Oyj,199936616,0533755-0,743700VK1NB8HRGTQH74,True,66100,
Arla Foods Finance A/S,199936635,89622816,5299009NKLBAQK6ILY46,True,64990,199936039
Heimstaden AB (publ),199936636,556670-0455,549300WD2QBD89VBPV88,True,68200,
Landsbankinn hf.,199936641,471008-0280,549300TLZPT6JELDWM92,True,64190,
Dometic Group Ab (publ),199936643,556829-4390,549300STIPMK5VSA7Y59,True,46720,
Vattenfall AB (publ),199936644,556036-2138,549300T5RZ1HA5HZ3109,True,35110,
Atlas Copco AB,199936663,556014-2720,213800T8PC8Q4FYJZR07,True,28130,
Mercedes-Benz Group AG,199936672,Stuttgart-HRB19360,529900R27DL06UVNT076,True,29100,
Nokia Oyj,199936681,0112038-9,549300A0JPRWG1KI7U06,True,61000,
Citycon Treasury B.V,199936683,52962733,549300WAE0CGQ0IE1H63,True,68200,199934341
HKFoods Oyj,199936692,0111425-3,7437000PN6E448NPGY86,True,10130,
Hexagon AB,199936696,556190-4771,549300WJFW6ILNI4TA80,True,26510,
Loomis AB,199936702,556620-8095,213800NS2XXVRYS7WP40,True,80010,
Danfoss A/S,199936704,20165715,5493007I2KABJNYPD639,True,28140,
Lantmännen Ekonomisk Förening,199936725,769605-2856,529900AB08F05L4HWU11,True,46210,
Humana AB,199936736,556760-8475,549300A5X3MXUDS67N81,True,87106,
Svensk FastighetsFinansiering (SFF) AB,199936737,556985-7229,5493002YD4MUDIBFQN78,True,64920,
Danske Bank A/S,199936751,61126228,MAES062Z21O4RZ2U7M96,True,64190,
Kommunekredit A/S,199936752,22128612,529900D8QLTZ6PRLJL76,True,64920,
Nordea Bank Abp,199936757,2858394-9,529900ODI3047E2LIV03,True,64190,
Nordea Hypotek AB,199936758,556091-5448,5493000K2HPWIF6MFO29,True,64920,199936757
Skandinaviska Enskilda Banken AB,199936759,502032-9081,F3JS33DEI6XQ4ZBPTN86,True,64190,
