Name,OrganizationNumber,From,To,Scope1_Estimate,Scope1_Score,Scope1_CalculationDate,Scope1_ReportedRatio,Scope2_Estimate,Scope2_Score,Scope2_CalculationDate,Scope2_ReportedRatio,Scope3_Estimate,Scope3_Score,Scope3_CalculationDate,Scope3_ReportedRatio,EnterpriseValue_Estimate,EnterpriseValue_Score,EnterpriseValue_CalculationDate,EnterpriseValue_ReportedRatio,Revenue_Estimate,Revenue_Score,Revenue_CalculationDate,Revenue_ReportedRatio,NonRenewableConsume_Estimate,NonRenewableConsume_Score,NonRenewableConsume_CalculationDate,NonRenewableConsume_ReportedRatio,NonRenewableProduction_Estimate,NonRenewableProduction_Score,NonRenewableProduction_CalculationDate,NonRenewableProduction_ReportedRatio,RenewableConsume_Estimate,RenewableConsume_Score,RenewableConsume_CalculationDate,RenewableConsume_ReportedRatio,RenewableProduction_Estimate,RenewableProduction_Score,RenewableProduction_CalculationDate,RenewableProduction_ReportedRatio,EmissonsWater_Estimate,EmissonsWater_Score,EmissonsWater_CalculationDate,EmissonsWater_ReportedRatio,HazardousWaste_Estimate,HazardousWaste_Score,HazardousWaste_CalculationDate,HazardousWaste_ReportedRatio,GenderPayGap_Estimate,GenderPayGap_Score,GenderPayGap_CalculationDate,GenderPayGap_ReportedRatio,HighImpactClimateSector_Estimate,HighImpactClimateSector_Score,HighImpactClimateSector_CalculationDate,HighImpactClimateSector_ReportedRatio,TotalGHGEmission_Estimate,TotalGHGEmission_Score,TotalGHGEmission_CalculationDate,TotalGHGEmission_ReportedRatio,ConsolidatedSourceCompanyName,ConsolidatedSourceOrganizationNumber,IndustryCode
Bayport Management Ltd,146931723,2020-01-01,2020-12-31,4.328718935687199,4.0,2026-04-03,0.0,7.174594584343973,4.0,2026-04-03,0.0,15441.645984995934,4.0,2026-04-03,0.0,1121.5762605949171,2.0,2026-04-03,1.0,292.9362479317317,2.0,2026-04-03,1.0,0.143538761486549,4.0,2026-04-03,0.0,0.0,2.0,2026-04-03,1.0,0.292350375435868,4.0,2026-04-03,0.0,0.0,4.0,2026-04-03,0.0,0.0,2.0,2026-04-03,1.0,1.429235953658919,4.0,2026-04-03,0.0,70.0,4.0,2026-04-03,0.0,0.0,2.0,2026-04-03,1.0,15453.149298515966,4.0,2026-04-03,0.0,,,64990
Bayport Management Ltd,146931723,2021-01-01,2021-12-31,130.5390213236249,4.0,2026-04-03,0.0,116.14526277067951,4.0,2026-04-03,0.0,14566.9107220756,4.0,2026-04-03,0.0,1264.9502560480273,2.0,2026-04-03,1.0,323.53522337983304,2.0,2026-04-03,1.0,0.166620640040614,4.0,2026-04-03,0.0,0.0,2.0,2026-04-03,1.0,1.311288260358463,4.0,2026-04-03,0.0,0.36883015465301,4.0,2026-04-03,0.0,0.0,2.0,2026-04-03,1.0,3.194910330875851,4.0,2026-04-03,0.0,79.090695,4.0,2026-04-03,0.0,0.0,2.0,2026-04-03,1.0,14813.595006169904,4.0,2026-04-03,0.0,,,64990
Bayport Management Ltd,146931723,2022-01-01,2022-12-31,315.2729587750798,4.0,2026-04-03,0.0,1722.901104254876,4.0,2026-04-03,0.0,20164.92440522057,4.0,2026-04-03,0.0,1417.0528126757927,2.0,2026-04-03,1.0,364.7531876992313,2.0,2026-04-03,1.0,5.059491466576038,4.0,2026-04-03,0.0,0.0,2.0,2026-04-03,1.0,0.041217110210013,4.0,2026-04-03,0.0,0.116721020063754,4.0,2026-04-03,0.0,0.0,2.0,2026-04-03,1.0,2.007601545096569,4.0,2026-04-03,0.0,70.0,4.0,2026-04-03,0.0,0.0,2.0,2026-04-03,1.0,22203.098468250522,4.0,2026-04-03,0.0,,,64990
Bayport Management Ltd,146931723,2023-01-01,2023-12-31,341.45700411764534,4.0,2026-04-10,0.0,1400.9546866669614,4.0,2026-04-10,0.0,13729.083453367351,4.0,2026-04-10,0.0,1497.9953954751056,2.0,2026-04-10,1.0,351.85429864253217,2.0,2026-04-10,1.0,4.403808401809933,4.0,2026-04-10,0.0,0.0,2.0,2026-04-10,1.0,0.287464961990949,4.0,2026-04-10,0.0,0.023926092307692,4.0,2026-04-10,0.0,0.0,2.0,2026-04-10,1.0,15.130086695927526,4.0,2026-04-10,0.0,79.624024,4.0,2026-04-10,0.0,0.0,2.0,2026-04-10,1.0,15471.495144151959,4.0,2026-04-10,0.0,,,64990
Kinnevik AB,199934759,2020-01-01,2020-12-31,11.7,2.0,2026-04-03,1.0,4.8,2.0,2026-04-03,1.0,78.2,2.0,2026-04-03,1.0,11959.47895044077,2.0,2026-04-03,1.0,175.29872483500952,2.0,2026-04-03,1.0,0.085896375169155,4.0,2026-04-03,0.0,0.0,2.0,2026-04-03,1.0,0.174948127385339,4.0,2026-04-03,0.0,0.0,4.0,2026-04-03,0.0,0.0,2.0,2026-04-03,1.0,0.855282478470011,4.0,2026-04-03,0.0,70.0,4.0,2026-04-03,0.0,0.0,2.0,2026-04-03,1.0,94.7,2.0,2026-04-03,1.0,,,64990
Kinnevik AB,199934759,2021-01-01,2021-12-31,5.3,2.0,2026-04-03,1.0,5.5,2.0,2026-04-03,1.0,109.4,2.0,2026-04-03,1.0,9408.70023316388,2.0,2026-04-03,1.0,186.23845155751485,2.0,2026-04-03,1.0,0.09591280255212,4.0,2026-04-03,0.0,0.0,2.0,2026-04-03,1.0,0.754824444162608,4.0,2026-04-03,0.0,0.212311834775567,4.0,2026-04-03,0.0,0.0,2.0,2026-04-03,1.0,1.839104709130459,4.0,2026-04-03,0.0,79.090695,4.0,2026-04-03,0.0,0.0,2.0,2026-04-03,1.0,120.2,2.0,2026-04-03,1.0,,,64990
Kinnevik AB,199934759,2022-01-01,2022-12-31,7.7,2.0,2026-04-03,1.0,3.2,2.0,2026-04-03,1.0,386.1,2.0,2026-04-03,1.0,4047.456346994196,2.0,2026-04-03,1.0,350.2130950026079,2.0,2026-04-03,1.0,0.164,2.0,2026-04-03,1.0,0.0,2.0,2026-04-03,1.0,0.039574079735295,4.0,2026-04-03,0.0,0.112068190400835,4.0,2026-04-03,0.0,0.0,2.0,2026-04-03,1.0,1.927572874894354,4.0,2026-04-03,0.0,70.0,4.0,2026-04-03,0.0,0.0,2.0,2026-04-03,1.0,397.0,2.0,2026-04-03,1.0,,,64990
Kinnevik AB,199934759,2023-01-01,2023-12-31,4.4,2.0,2026-04-03,1.0,4.8,2.0,2026-04-03,1.0,353.5,2.0,2026-04-03,1.0,3220.7101658255347,2.0,2026-04-03,1.0,54.614275414564005,2.0,2026-04-03,1.0,1.91,2.0,2026-04-03,1.0,0.0,2.0,2026-04-03,1.0,0.044619863013699,4.0,2026-04-03,0.0,0.00371377072819,4.0,2026-04-03,0.0,0.0,2.0,2026-04-03,1.0,2.348468457101667,4.0,2026-04-03,0.0,79.624024,4.0,2026-04-03,0.0,0.0,2.0,2026-04-03,1.0,362.7,2.0,2026-04-03,1.0,,,64990
Danmarks Skibskredit A/S,199936440,2020-01-01,2020-12-31,13.0,2.0,2026-04-03,1.0,7.0,2.0,2026-04-03,1.0,99.0,2.0,2026-04-03,1.0,8037.33419356179,2.0,2026-04-03,1.0,209.92084291185546,2.0,2026-04-03,1.0,0.20139,2.0,2026-04-03,1.0,0.0,4.0,2026-04-03,0.0,0.20961,2.0,2026-04-03,1.0,0.0,4.0,2026-04-03,0.0,0.0,4.0,2026-04-03,0.0,1.024203792566943,4.0,2026-04-03,0.0,70.0,2.0,2026-04-03,1.0,0.0,2.0,2026-04-03,1.0,119.0,2.0,2026-04-03,1.0,,,64990
Danmarks Skibskredit A/S,199936440,2021-01-01,2021-12-31,13.0,2.0,2026-04-03,1.0,19.0,2.0,2026-04-03,1.0,48.0,2.0,2026-04-03,1.0,7457.640793932518,2.0,2026-04-03,1.0,156.25840460437783,2.0,2026-04-03,1.0,0.24387,2.0,2026-04-03,1.0,0.0,4.0,2026-04-03,0.0,0.49513,2.0,2026-04-03,1.0,0.178134581248991,4.0,2026-04-03,0.0,0.0,4.0,2026-04-03,0.0,1.543051745468231,4.0,2026-04-03,0.0,70.0,2.0,2026-04-03,1.0,0.0,2.0,2026-04-03,1.0,80.0,2.0,2026-04-03,1.0,,,64990
